"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"si:dkey-43k4.3",4029.98075991124,-0.875610518494696,0.345791507761707,0.00160838071569398,0.0315483015167907,"Significant"
"ttll5",1232.85583002958,-1.05137902520322,0.438453795200333,0.00161007699320557,0.0315483015167907,"Significant"
"rab27b",254.622787931568,-1.47476447033904,0.688274655580928,0.0016150629372302,0.0315727993627385,"Significant"
"zgc:194114",3120.39663880907,-1.16217376325255,0.502573307702909,0.0016145293286769,0.0315727993627385,"Significant"
"nectin3b",1020.07309641601,-0.88207542285755,0.349096692937217,0.00162136723781743,0.0316636235034886,"Significant"
"cfap70",1553.276289053,-1.15908446485751,0.500277736604006,0.00163296099314562,0.0318000967597598,"Significant"
"birc5a",4583.9320672144,-0.943309147130908,0.382444130321288,0.00163431344391137,0.0318020087263029,"Significant"
"ca8",1350.67403535513,-1.06290903886771,0.446998299004747,0.00165503274726335,0.0321464510018958,"Significant"
"si:dkey-58f10.4",1749.35994813321,-1.32941843549638,0.603505933266092,0.0016570858394588,0.0321464510018958,"Significant"
"psmc1a",6168.75640532626,-0.743826300448635,0.281749620342298,0.00166186658142828,0.0322145467676712,"Significant"
"orc4",2160.15868848779,-0.752646807922466,0.287004716858569,0.00167619629986165,0.0323439552381979,"Significant"
"eef1e1",1060.2966146772,-0.789371067864266,0.304190854348558,0.0016775806990934,0.0323460521867021,"Significant"
"pou2f1b",4132.90417326471,-0.811608664376045,0.316756494025955,0.00168006995162265,0.0323606496750421,"Significant"
"si:dkey-75b17.1",1010.727928942,-0.778069254761636,0.298816773047473,0.00168089038146442,0.0323606496750421,"Significant"
"stra6l",1026.00233452916,-0.988554768203878,0.409292383513088,0.00169234309058207,0.0325564181044829,"Significant"
"si:ch211-51e12.7",7448.72839084365,-0.665622475472628,0.245652907329862,0.00170554690425352,0.0327111511023813,"Significant"
"arl6",4143.66680697218,-0.784130546550876,0.302070625409955,0.0017099964015716,0.0327222330278098,"Significant"
"ddx19a",11441.4786492067,-0.826077832937346,0.322192325421449,0.00171539410518353,0.0327760493872858,"Significant"
"adprs",1870.78939691175,-0.788687604854628,0.306517822719415,0.0017661368648157,0.0334931938724025,"Significant"
"cdc45",2450.11423595885,-0.80548215897538,0.314479885792332,0.00176919964773215,0.0335226532536681,"Significant"
"si:dkey-63j12.4",260.062284401567,-1.68847610659432,0.846929140805085,0.00177033455754926,0.0335226532536681,"Significant"
"tbc1d30",2884.34185286288,-0.916042715705932,0.372648460477439,0.00178541541945101,0.0337075264037084,"Significant"
"ccdc181",933.221596089248,-0.956066285334515,0.39378459027548,0.00180209623041793,0.0338962536515182,"Significant"
"pcp4l1",2012.92610637069,-0.825243977340656,0.325446170535529,0.00180000859308474,0.0338962536515182,"Significant"
"prmt1",10220.3131814667,-0.630662250405692,0.231429876999054,0.00180121024140897,0.0338962536515182,"Significant"
"hsf5",14182.6971859738,-0.770523858320874,0.297374911897616,0.00180846637560495,0.0339656777433064,"Significant"
"mindy3",5059.16628309997,-0.810867603852734,0.318795808729331,0.00181552000460757,0.0340477142875925,"Significant"
"si:ch73-269m14.3",2156.28643315977,-1.33353844662366,0.624897739444502,0.00182578752852378,0.0341392645912392,"Significant"
"efhc2",14183.5680373113,-0.76098273922244,0.295079676279014,0.00185509089523664,0.0346106178430648,"Significant"
"dcdc2b",2748.90391784628,-0.810175834177979,0.319281923580094,0.00185932164421194,0.0346640443301424,"Significant"
"tuba1a",1000.76896200795,-1.03394637174989,0.440349200642157,0.00186405336354796,0.0347012283647273,"Significant"
"alg13",1413.05493708927,-0.980022971273017,0.411091919849266,0.00188199788824353,0.0349160702567198,"Significant"
"cremb",19222.033213704,-0.732925460088232,0.280276835305685,0.00188661077703435,0.0349160702567198,"Significant"
"hnrnpl",4509.69020556943,-0.888577424111002,0.360038081825555,0.00188016173290616,0.0349160702567198,"Significant"
"MAJIN",1512.77681201037,-1.10590832513248,0.483218372162382,0.0018857203014918,0.0349160702567198,"Significant"
"prkcab",413.377291158314,-1.46746276788354,0.714791993301324,0.00188522480179291,0.0349160702567198,"Significant"
"usp14",2536.64570487264,-0.696620998891351,0.264491529855483,0.00189271907072655,0.0349780554214808,"Significant"
"ENSDARG00000110746",1147.5426093309,-1.29899615595532,0.600260516341979,0.00190035475433575,0.0350935868872418,"Significant"
"sanbr",2424.69745949892,-0.973492246678274,0.40925618059579,0.00190820565430454,0.0351617400907643,"Significant"
"epdr1",794.199428701629,-0.982234148314839,0.413479649073267,0.00192077800327283,0.0353310409309996,"Significant"
"top2a",15698.7108543088,-0.763503029595864,0.297356818929652,0.00194123733310936,0.0355893511070049,"Significant"
"tubb2b",8912.26947404453,-0.675013006962344,0.254564837122853,0.00194070245121495,0.0355893511070049,"Significant"
"si:ch211-63o20.7",5140.52246040377,-0.843030026312966,0.340107680809559,0.00194734555380433,0.0356240595358649,"Significant"
"cdh13",812.97323449186,-2.21381984250176,1.2871295927476,0.00195815726454338,0.0357960183435454,"Significant"
"ubtd2",4138.46876799187,-0.803530483115609,0.319383604037376,0.00196448766057142,0.035860032133757,"Significant"
"acsl5",1427.94665623608,-0.762892627571624,0.298037526988932,0.00197050332727901,0.0359181249914876,"Significant"
"gpn2",3160.45798861715,-0.703277723956777,0.269039350824398,0.00198416957591525,0.0361153048078472,"Significant"
"ube2t",2663.42439930418,-0.804293897154372,0.320697579553086,0.00202729912269435,0.0367683614133872,"Significant"
"si:dkey-154b15.1",2106.30035099477,-0.908440084803363,0.379167301742952,0.002047166146758,0.0370756411793208,"Significant"
"ctdspl3",5287.36422026542,-0.823280030862871,0.33125334950563,0.00206403266779968,0.0372480770762,"Significant"
"CCNB1IP1",1272.93014577682,-0.847060570167415,0.344294224172094,0.00207288925831796,0.0373812995338918,"Significant"
"rcc2",9844.62045437285,-0.67891377932042,0.262507336649816,0.00207681004555046,0.037425386428523,"Significant"
"pla2g6",1143.61660852216,-0.927244256814988,0.390890189339333,0.00208224151891883,0.0374966148524055,"Significant"
"zgc:194246",6790.31777720418,-0.954374074899946,0.405198931161916,0.00208497018540602,0.0375191050752091,"Significant"
"arl4aa",1816.40805706506,-0.814375189305936,0.327005244858618,0.00208647973167602,0.0375196408486847,"Significant"
"KHDRBS3",647.957032149847,-1.12052858662885,0.501675333598985,0.00209641550406568,0.03761826971379,"Significant"
"psmd11b",2302.98728424487,-0.636739360516103,0.239067912256891,0.00209526936640174,0.03761826971379,"Significant"
"ENSDARG00000114134",1393.17764811524,-0.783831883662451,0.311498197607028,0.00210599375192922,0.037736729031919,"Significant"
"uba2",2211.51953844124,-0.914726125241451,0.381875215948787,0.00210807823886029,0.0377474037756375,"Significant"
"si:dkey-23a23.2",1227.87730824771,-1.10055226822691,0.490881210429755,0.00211269647637402,0.0378034009586898,"Significant"
"furinb",1195.84112541106,-0.862669713772348,0.354127640657602,0.0021256062227649,0.0379273369304744,"Significant"
"nap1l4b",8148.11422237096,-0.74075211264508,0.28977430439155,0.00212243519653787,0.0379273369304744,"Significant"
