"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"si:dkey-56e3.2",416.903845765097,2.01333937064147,0.602585241740869,4.32753823963309e-05,0.00224606158520217,"Significant"
"timp4.2",440.436065778767,1.84218901026598,0.547290377960761,4.31873920641222e-05,0.00224606158520217,"Significant"
"zfp36l1a",4149.4266349207,1.24310303207972,0.353419655125464,4.33126516693084e-05,0.00224606158520217,"Significant"
"impdh1a",254.158010735964,1.90096899093924,0.56608758131033,4.37917446214776e-05,0.00226296825160147,"Significant"
"si:dkey-241l7.6",53.3755008120048,4.59461582136069,1.41880868516624,4.38224181240907e-05,0.00226296825160147,"Significant"
"sh3d21",1152.64684200178,2.44849002061335,0.743649099020614,4.43873781999145e-05,0.00228639234975747,"Significant"
"ENSDARG00000101990",260.513020356493,4.02858804928967,1.26880068496798,4.46690278308624e-05,0.00229267854382898,"Significant"
"bcl11ba",242.563371064099,2.25909124966888,0.684561534580091,4.57492843517785e-05,0.00233906697953345,"Significant"
"mhc2d8.46a",78.282710625643,4.63463052739537,1.46272603748117,4.57573347209068e-05,0.00233906697953345,"Significant"
"si:dkey-19a16.4",1022.04520050928,2.69171874694455,0.824333313072309,4.59095404939574e-05,0.00234212555175913,"Significant"
"aqp8a.2",29.7556613943437,8.30991489434444,3.42024263413389,4.63669769156314e-05,0.0023559813621159,"Significant"
"si:ch211-282j17.13",820.678716943828,2.12283840544759,0.641922876316996,4.64635141747107e-05,0.00235616480379958,"Significant"
"tjp3",1456.11373118643,1.75329851872394,0.521915151670422,4.69465442294853e-05,0.00237590744299122,"Significant"
"qrsl1",4109.75739047723,1.17813957187925,0.336657644990249,4.8509606620365e-05,0.00245012166505848,"Significant"
"ccl27b",177.306220348233,4.39209799174622,1.40377800424966,4.8698237274419e-05,0.00245475905783876,"Significant"
"pcdh20l",259.512195180023,3.56163402369337,1.1228652618602,4.93460812561403e-05,0.00248247994097111,"Significant"
"perp",9612.98364498835,2.05119962095927,0.620090111030161,5.06101616430442e-05,0.00254103098704829,"Significant"
"si:ch73-204p21.2",650.369061424778,2.66444647381858,0.826726959379708,5.10806452083693e-05,0.00255958450446285,"Significant"
"ptk2ab",736.296544627573,1.34365538112501,0.393323076583387,5.12103861346926e-05,0.00256102434012846,"Significant"
"rasal3",1029.99910682812,1.42699230273104,0.419560389847,5.15710040099946e-05,0.00257398190290042,"Significant"
"fzd10",514.931075232891,2.50679216771597,0.77560104427079,5.25685204747009e-05,0.00260836562942474,"Significant"
"si:ch211-226h8.14",246.09175140242,2.09122965363851,0.638506406765243,5.32140071258266e-05,0.00262652281044554,"Significant"
"entpd2a.1",1154.17197001522,1.49307013484769,0.442212479607052,5.34857823632715e-05,0.00263326604237038,"Significant"
"si:dkeyp-75b4.8",135.34027825082,4.81927503979701,1.56657270155151,5.40727544388871e-05,0.00265186593577946,"Significant"
"muc5.2",585.702236751876,2.58730631101484,0.806368328700937,5.44005927018467e-05,0.00266109385228213,"Significant"
"aqp1a.1",1240.16957727132,1.82956407908094,0.553957474771992,5.48848301793939e-05,0.00267616320999718,"Significant"
"tbx3a",253.78126097945,2.32332929754369,0.718480888399596,5.51290855798281e-05,0.00268291356022369,"Significant"
"ctss2.2",3474.2692662415,1.62691721220758,0.488238718548895,5.65676536020923e-05,0.00274345604597819,"Significant"
"trim108",329.592793110773,3.4564414395367,1.09699445513355,5.65895291676827e-05,0.00274345604597819,"Significant"
"fam83b",1929.88488975428,1.07569571194602,0.309495964172531,5.70851711414958e-05,0.00276220327155081,"Significant"
"caspbl",63.0195177914819,5.66871457381145,1.83068215969133,5.89490606714602e-05,0.00284695892061881,"Significant"
"si:cabz01070274.1",2409.0829307939,0.956325265124621,0.270895470881849,5.94925781562251e-05,0.00286230421091288,"Significant"
"inpp5d",204.637736026091,2.03820407609915,0.630063642400816,6.07598792473522e-05,0.00291222445806543,"Significant"
"gfpt2",668.129858216509,2.46699644476322,0.774132586755611,6.12017364284512e-05,0.00292560534153267,"Significant"
"prkcq",165.14141613907,2.58049076455165,0.816613422973159,6.5026958436008e-05,0.00309917017132516,"Significant"
"ENSDARG00000059039",64.2951609220131,4.98031603663493,1.63222148753771,6.53162071413618e-05,0.00310711525716553,"Significant"
"ENSDARG00000039888",44.6671692795021,6.10459152681547,1.91662602120602,6.73976905369004e-05,0.00319451759920741,"Significant"
"hnf1ba",434.583360510151,1.89192843757804,0.585835841658509,6.7405518263694e-05,0.00319451759920741,"Significant"
"lrrc15",641.833484992824,1.87705349073668,0.580360007551087,6.83488299505553e-05,0.0032331801929036,"Significant"
"rgs2",236.847064169122,2.82788063494516,0.905947231576547,6.84796709308503e-05,0.00323333716285235,"Significant"
"ENSDARG00000109952",26.1779809801465,8.05995590930702,3.4175376123586,6.9050475678651e-05,0.0032542282729223,"Significant"
"cavin2a",1919.77037543323,1.92674869118166,0.597034997382981,6.93449032130956e-05,0.0032560000388297,"Significant"
"ucp2",3292.62523317993,1.50181404814138,0.451311223093563,7.00470510112187e-05,0.00328288905432431,"Significant"
"st14",2262.05043119779,1.51331030438926,0.459551917563081,7.04990670104781e-05,0.00329190394852794,"Significant"
"tmc4",137.075809511785,2.97760291689039,0.96239750042323,7.1774686431951e-05,0.00334530730603331,"Significant"
